# BEAST v1.8.3
# Generated Tue Jul 19 10:06:23 EST 2016 [seed=1468886782485]
# -overwrite -beagle_off concat_clock_genes.xml
state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
540000	-492520.92083898024	-70.71202130486532	-492450.20881767536	640644.8717128966	653835.0150598793	2.7098238491132554	0.354411495714797	0.15970694062100022	0.1412670763662286	0.34461448729797406	2.1470210753947592E-7	2.1470210753947592E-7	-492450.20881767536	0.0	-69.08454643585348
550000	-492523.57389129145	-71.11836087850729	-492452.45553041296	872616.0374649474	623631.4045922507	2.7119236275538325	0.354411495714797	0.15970694062100022	0.1412670763662286	0.34461448729797406	1.5696808658362307E-7	1.5696808658362307E-7	-492452.45553041296	0.0	-69.85118929978385
560000	-492518.38991123246	-69.02870990768072	-492449.3612013248	706443.0216280408	213063.88437291444	2.7119236275538325	0.354411495714797	0.15970694062100022	0.1410810364862012	0.34480052717800147	1.9440565566086484E-7	1.944056556608648E-7	-492449.3612013248	0.0	-68.62119613659368
570000	-492518.2685191312	-68.40300940372106	-492449.86550972745	634120.7314367539	264754.5038318459	2.7349023386176152	0.3559910539850918	0.15970694062100022	0.140068180470374	0.34423382492353394	2.1497080613525098E-7	2.14970806135251E-7	-492449.86550972745	0.0	-67.66798132484193
580000	-492525.72775306297	-71.95218243669788	-492453.77557062625	968362.8042024875	770536.1396354614	2.714326366842252	0.3559910539850918	0.15970694062100022	0.140068180470374	0.34423382492353394	1.4087548362131865E-7	1.4087548362131865E-7	-492453.77557062625	0.0	-70.57987248706065
590000	-492522.96896897105	-71.03613655735359	-492451.9328324137	901379.4381161743	590544.7204270769	2.714326366842252	0.3559910539850918	0.15970694062100022	0.140068180470374	0.34423382492353394	1.50855409053673E-7	1.5085540905367302E-7	-492451.9328324137	0.0	-69.86108317142465
600000	-492519.1651071663	-68.35931972673664	-492450.8057874395	581932.9885858323	322129.234760082	2.7210391852655538	0.3558103196391196	0.15988767496697243	0.140068180470374	0.34423382492353394	2.3555318773987265E-7	2.3555318773987265E-7	-492450.8057874395	0.0	-67.34270075348476
610000	-492520.3675188471	-69.70230695729792	-492450.66521188983	789461.030533776	363338.8748330264	2.7210391852655538	0.3558103196391196	0.15988767496697243	0.140068180470374	0.34423382492353394	1.7166045863401537E-7	1.716604586340154E-7	-492450.66521188983	0.0	-68.88094650595725
620000	-492522.5726527663	-73.21863708086019	-492449.35401568544	790506.7202726909	1132466.705157202	2.7210391852655538	0.3558103196391196	0.15988767496697243	0.140068180470374	0.34423382492353394	1.73005668354666E-7	1.7300566835466598E-7	-492449.35401568544	0.0	-71.25386317628755
630000	-492521.3446992439	-68.96256797566538	-492452.3821312682	675694.148549802	329632.46186570084	2.736740608832969	0.3558103196391196	0.15962803544353685	0.14032781999380958	0.34423382492353394	2.0221245690766298E-7	2.0221245690766298E-7	-492452.3821312682	0.0	-68.06991188862247
640000	-492519.4711513195	-70.78006122804496	-492448.6910900915	733755.4309656668	624235.7358458348	2.723539834380559	0.3558103196391196	0.15962803544353685	0.14032700434691475	0.34423464057042874	1.859877229159367E-7	1.859877229159367E-7	-492448.6910900915	0.0	-69.33736534745104
650000	-492517.4121037335	-69.08574082196645	-492448.32636291155	702699.5710215213	207117.51593970062	2.723539834380559	0.3550985100289967	0.16033984505365975	0.14032700434691475	0.34423464057042874	1.9547723483961333E-7	1.9547723483961336E-7	-492448.32636291155	0.0	-68.69715516676807
660000	-492519.37371708296	-68.45064823021124	-492450.92306885275	644807.1353026212	250278.04729640897	2.723539834380559	0.3550985100289967	0.16033984505365975	0.14032700434691475	0.34423464057042874	2.1405773099911909E-7	2.140577309991191E-7	-492450.92306885275	0.0	-67.78219739166046
670000	-492520.1489598271	-69.4902560396235	-492450.6587037875	736783.0332818531	382366.1549040651	2.7084200199600796	0.3550985100289967	0.16033984505365975	0.14060132655619406	0.34396031836114943	1.8568922322220134E-7	1.8568922322220134E-7	-492450.6587037875	0.0	-68.54505184328657
680000	-492519.14420057274	-68.32152201624864	-492450.8226785565	615163.5687001164	179673.69449101674	2.7045706933753313	0.3554172128805215	0.1600211422021349	0.14060132655619406	0.34396031836114943	2.2290160666364356E-7	2.2290160666364358E-7	-492450.8226785565	0.0	-67.94982005322959
690000	-492519.86489393126	-70.04729539467097	-492449.8175985366	745297.5858278207	166752.55505943333	2.736904151641198	0.3554172128805215	0.1600211422021349	0.14046076428547752	0.34410088063186595	1.8495423810736886E-7	1.8495423810736883E-7	-492449.8175985366	0.0	-69.92605537306449
700000	-492532.937908799	-73.006801095053	-492459.93110770395	986092.0436230962	173609.89619932647	2.736904151641198	0.3547202723839282	0.1580100476464724	0.14046076428547752	0.34680891568412175	1.3701873027101303E-7	1.37018730271013E-7	-492459.93110770395	0.0	-73.14343770653365
710000	-492525.88719973137	-69.12063694054592	-492456.76656279084	705627.1352946357	203579.09560360044	2.736904151641198	0.3547202723839282	0.1580100476464724	0.14046076428547752	0.34680891568412175	1.922877820331534E-7	1.9228778203315344E-7	-492456.76656279084	0.0	-68.75867413165673
720000	-492520.8792946318	-68.70146301874756	-492452.1778316131	647321.4881192478	184452.85355857178	2.7554934294792472	0.3547202723839282	0.16166611436895859	0.1399640681898098	0.3436495450573033	2.1124625846315126E-7	2.1124625846315126E-7	-492452.1778316131	0.0	-68.33858842676187
730000	-492526.65693927096	-69.64649817763824	-492457.0104410933	814510.5761957195	323741.7993204476	2.7554934294792472	0.3547202723839282	0.16166611436895859	0.1399640681898098	0.3436495450573033	1.6895807670002777E-7	1.6895807670002777E-7	-492457.0104410933	0.0	-68.94496097571813
740000	-492522.03364458145	-69.85869856096387	-492452.1749460205	784973.2367449073	408695.76474986813	2.7554934294792472	0.3547202723839282	0.1596589564376004	0.1416318881833231	0.3439888829951482	1.738048738044258E-7	1.738048738044258E-7	-492452.1749460205	0.0	-68.89569212156465
750000	-492519.37914814847	-69.0160132103193	-492450.3631349381	717038.7686932553	256646.2017984968	2.6928501222210843	0.3553173550365163	0.1596589564376004	0.14103480553073505	0.3439888829951482	1.9133107849242395E-7	1.91331078492424E-7	-492450.3631349381	0.0	-68.44560993003806
760000	-492521.07738225174	-69.42123387565263	-492451.65614837606	719038.8607016045	385566.18985355564	2.702848569284097	0.3553173550365163	0.1596589564376004	0.14103480553073505	0.3439888829951482	1.901927725565821E-7	1.9019277255658215E-7	-492451.65614837606	0.0	-68.44580970410537
770000	-492518.9531043386	-69.28414312719079	-492449.6689612114	743711.0235579013	321267.49093421694	2.702848569284097	0.3557193186627043	0.1596589564376004	0.14103480553073505	0.3435869193689602	1.8297281208376877E-7	1.8297281208376874E-7	-492449.6689612114	0.0	-68.52884665421901
780000	-492517.97642523487	-67.95297395547959	-492450.0234512794	590524.3953216559	218996.85241123597	2.702848569284097	0.3557193186627043	0.1600695715647588	0.14062419040357665	0.3435869193689602	2.3174197978552106E-7	2.3174197978552103E-7	-492450.0234512794	0.0	-67.34472917826871
790000	-492523.71965691267	-70.69209182052934	-492453.02756509214	687096.4881556481	631437.8665116408	2.702848569284097	0.3557193186627043	0.1600695715647588	0.14062419040357665	0.3435869193689602	1.9591740141351743E-7	1.9591740141351745E-7	-492453.02756509214	0.0	-69.19112034790025
800000	-492520.6254470968	-68.71639915659146	-492451.9090479402	656301.6408718831	308883.46643722017	2.702848569284097	0.3557193186627043	0.1598621328461258	0.14062419040357665	0.3437943580875932	2.0915230278195258E-7	2.0915230278195258E-7	-492451.9090479402	0.0	-67.86789817530777
810000	-492521.4081820055	-69.41096979513141	-492451.9972122104	596409.9081163328	470240.95433018374	2.702848569284097	0.3551633964254442	0.1598621328461258	0.14118011264083674	0.3437943580875932	2.303107877747253E-7	2.3031078777472526E-7	-492451.9972122104	0.0	-68.0450181640679
